FileName,Plant species1,Species_level,Max_intractions,Plant species2,Family_level,Max_intractions,Plant species3,Functional groups,Max_intractions,Plant species4,Order_level,Max_intractions
M_PL_061_42.csv,Nephrosperma vanhoutteanum,Lasioglossum.mahense,38,Nephrosperma vanhoutteanum,Halictidae,38,Nephrosperma vanhoutteanum,Bee,65,Nephrosperma vanhoutteanum,Hymenoptera,65
M_PL_061_43.csv,Nephrosperma vanhoutteanum,Apis.mellifera,27,Nephrosperma vanhoutteanum,Apidae,27,Nephrosperma vanhoutteanum,Bee,47,Nephrosperma vanhoutteanum,Hymenoptera,47
M_PL_061_44.csv,Nephrosperma vanhoutteanum,Apis.mellifera,32,Nephrosperma vanhoutteanum,Apidae,32,Nephrosperma vanhoutteanum,Bee,58,Nephrosperma vanhoutteanum,Hymenoptera,58
M_PL_061_46.csv,Nephrosperma vanhoutteanum,Apis.mellifera,22,Nephrosperma vanhoutteanum,Apidae,22,Nephrosperma vanhoutteanum,Bee,34,Nephrosperma vanhoutteanum,Hymenoptera,34
M_PL_004.csv,Oxalis montana,Eusphalerum,64,Oxalis montana,Staphylinidae,76,Cornus canadensis,Bee,93,Cornus canadensis,Hymenoptera,77
M_PL_060_08.csv,Pandanus barklyi,Apis.mellifera,65,Pandanus barklyi,Apidae,65,Pandanus barklyi,Bee,65,Pandanus barklyi,Hymenoptera,65
M_PL_061_01.csv,Paragenipa wrightii,Apis.mellifera,22,Paragenipa wrightii,Apidae,23,Paragenipa wrightii,Bee,34,Paragenipa wrightii,Hymenoptera,35
M_PL_061_11.csv,Phoenicophorium borsigianum,Lasioglossum.mahense,42,Phoenicophorium borsigianum,Halictidae,42,Phoenicophorium borsigianum,Bee,45,Phoenicophorium borsigianum,Hymenoptera,45
M_PL_061_21.csv,Phoenicophorium borsigianum,Lasioglossum.mahense,33,Phoenicophorium borsigianum,Halictidae,33,Phoenicophorium borsigianum,Bee,53,Phoenicophorium borsigianum,Hymenoptera,53
M_PL_061_45.csv,Phoenicophorium borsigianum,Lasioglossum.mahense,27,Phoenicophorium borsigianum,Halictidae,27,Phoenicophorium borsigianum,Bee,40,Phoenicophorium borsigianum,Hymenoptera,40
M_PL_054.csv,Photinia glabra,Anthrenus.verbasci,93,Vitex cannabifolia,Megachilidae,190,Vitex cannabifolia,Bee,271,Vitex cannabifolia,Hymenoptera,281
M_PL_060_09.csv,Pittosporum senacia,Technomyrmex.albipes,50,Pittosporum senacia,Formicidae,50,Pittosporum senacia,Ant,50,Pittosporum senacia,Hymenoptera,56
M_PL_024.csv,Potentilla vahliana ,Spilogona.sanctipauli,19,Potentilla vahliana ,Muscidae,39,Potentilla vahliana ,Fly,43,Potentilla vahliana ,Diptera,43
